Step,Temperature,Best_Energy
0,1000.000000,1308.640731
1000,999.990000,379.308624
2000,999.980000,379.308624
3000,999.970000,379.308624
4000,999.960001,379.308624
5000,999.950001,379.308624
6000,999.940001,379.308624
7000,999.930002,379.308624
8000,999.920003,379.308624
9000,999.910004,379.308624
10000,999.900004,379.308624
11000,999.890005,379.308624
12000,999.880007,379.308624
13000,999.870008,379.308624
14000,999.860009,379.308624
15000,999.850010,379.308624
16000,999.840012,379.308624
17000,999.830014,379.308624
18000,999.820015,379.308624
19000,999.810017,379.308624
20000,999.800019,379.308624
21000,999.790021,379.308624
22000,999.780023,379.308624
23000,999.770025,379.308624
24000,999.760028,379.308624
25000,999.750030,379.308624
26000,999.740032,379.308624
27000,999.730035,379.308624
28000,999.720038,379.308624
29000,999.710041,379.308624
30000,999.700043,379.308624
31000,999.690046,379.308624
32000,999.680050,379.308624
33000,999.670053,379.308624
34000,999.660056,379.308624
35000,999.650059,379.308624
36000,999.640063,379.308624
37000,999.630067,379.308624
38000,999.620070,379.308624
39000,999.610074,379.308624
40000,999.600078,379.308624
41000,999.590082,379.308624
42000,999.580086,379.308624
43000,999.570090,379.308624
44000,999.560095,379.308624
45000,999.550099,379.308624
46000,999.540103,379.308624
47000,999.530108,379.308624
48000,999.520113,379.308624
49000,999.510118,379.308624
50000,999.500122,379.308624
51000,999.490127,379.308624
52000,999.480133,379.308624
53000,999.470138,379.308624
54000,999.460143,379.308624
55000,999.450148,379.308624
56000,999.440154,379.308624
57000,999.430160,379.308624
58000,999.420165,379.308624
59000,999.410171,379.308624
60000,999.400177,379.308624
61000,999.390183,379.308624
62000,999.380189,379.308624
63000,999.370195,379.308624
64000,999.360202,379.308624
65000,999.350208,379.308624
66000,999.340214,379.308624
67000,999.330221,379.308624
68000,999.320228,379.308624
69000,999.310235,379.308624
70000,999.300241,379.308624
71000,999.290248,379.308624
72000,999.280256,379.308624
73000,999.270263,379.308624
74000,999.260270,379.308624
75000,999.250277,379.308624
76000,999.240285,379.308624
77000,999.230293,379.308624
78000,999.220300,379.308624
79000,999.210308,379.308624
80000,999.200316,379.308624
81000,999.190324,379.308624
82000,999.180332,379.308624
83000,999.170340,379.308624
84000,999.160349,379.308624
85000,999.150357,379.308624
86000,999.140365,379.308624
87000,999.130374,379.308624
88000,999.120383,379.308624
89000,999.110391,379.308624
90000,999.100400,379.308624
91000,999.090409,379.308624
92000,999.080418,379.308624
93000,999.070428,379.308624
94000,999.060437,379.308624
95000,999.050446,379.308624
96000,999.040456,379.308624
97000,999.030465,379.308624
98000,999.020475,379.308624
99000,999.010485,379.308624
100000,999.000495,379.308624
101000,998.990505,379.308624
102000,998.980515,379.308624
103000,998.970525,379.308624
104000,998.960535,379.308624
105000,998.950546,379.308624
106000,998.940556,379.308624
107000,998.930567,379.308624
108000,998.920578,379.308624
109000,998.910588,379.308624
110000,998.900599,379.308624
111000,998.890610,379.308624
112000,998.880621,379.308624
113000,998.870633,379.308624
114000,998.860644,379.308624
115000,998.850655,379.308624
116000,998.840667,379.308624
117000,998.830678,379.308624
118000,998.820690,379.308624
119000,998.810702,379.308624
120000,998.800714,379.308624
121000,998.790726,379.308624
122000,998.780738,379.308624
123000,998.770750,379.308624
124000,998.760762,379.308624
125000,998.750775,379.308624
126000,998.740787,379.308624
127000,998.730800,379.308624
128000,998.720812,379.308624
129000,998.710825,379.308624
130000,998.700838,379.308624
131000,998.690851,379.308624
132000,998.680864,379.308624
133000,998.670877,379.308624
134000,998.660891,379.308624
135000,998.650904,379.308624
136000,998.640918,379.308624
137000,998.630931,379.308624
138000,998.620945,379.308624
139000,998.610959,379.308624
140000,998.600973,379.308624
141000,998.590987,379.308624
142000,998.581001,379.308624
143000,998.571015,379.308624
144000,998.561029,379.308624
145000,998.551044,379.308624
146000,998.541058,379.308624
147000,998.531073,379.308624
148000,998.521087,379.308624
149000,998.511102,379.308624
150000,998.501117,379.308624
151000,998.491132,379.308624
152000,998.481147,379.308624
153000,998.471162,379.308624
154000,998.461178,379.308624
155000,998.451193,379.308624
156000,998.441208,379.308624
157000,998.431224,379.308624
158000,998.421240,379.308624
159000,998.411255,379.308624
160000,998.401271,379.308624
161000,998.391287,379.308624
162000,998.381303,379.308624
163000,998.371320,379.308624
164000,998.361336,379.308624
165000,998.351352,379.308624
166000,998.341369,379.308624
167000,998.331385,379.308624
168000,998.321402,379.308624
169000,998.311419,379.308624
170000,998.301436,379.308624
171000,998.291453,379.308624
172000,998.281470,379.308624
173000,998.271487,379.308624
174000,998.261504,379.308624
175000,998.251522,379.308624
176000,998.241539,379.308624
177000,998.231557,379.308624
178000,998.221574,379.308624
179000,998.211592,379.308624
180000,998.201610,379.308624
181000,998.191628,379.308624
182000,998.181646,379.308624
183000,998.171664,379.308624
184000,998.161683,379.308624
185000,998.151701,379.308624
186000,998.141719,379.308624
187000,998.131738,379.308624
188000,998.121757,379.308624
189000,998.111775,379.308624
190000,998.101794,379.308624
191000,998.091813,379.308624
192000,998.081832,379.308624
193000,998.071852,379.308624
194000,998.061871,379.308624
195000,998.051890,379.308624
196000,998.041910,379.308624
197000,998.031929,379.308624
198000,998.021949,379.308624
199000,998.011969,379.308624
200000,998.001989,379.308624
201000,997.992009,379.308624
202000,997.982029,379.308624
203000,997.972049,379.308624
204000,997.962069,379.308624
205000,997.952090,379.308624
206000,997.942110,379.308624
207000,997.932131,379.308624
208000,997.922151,379.308624
209000,997.912172,379.308624
210000,997.902193,379.308624
211000,997.892214,379.308624
212000,997.882235,379.308624
213000,997.872256,379.308624
214000,997.862277,379.308624
215000,997.852299,379.308624
216000,997.842320,379.308624
217000,997.832342,379.308624
218000,997.822364,379.308624
219000,997.812385,379.308624
220000,997.802407,379.308624
221000,997.792429,379.308624
222000,997.782451,379.308624
223000,997.772473,379.308624
224000,997.762496,379.308624
225000,997.752518,379.308624
226000,997.742541,379.308624
227000,997.732563,379.308624
228000,997.722586,379.308624
229000,997.712609,379.308624
230000,997.702631,379.308624
231000,997.692654,379.308624
232000,997.682678,379.308624
233000,997.672701,379.308624
234000,997.662724,379.308624
235000,997.652747,379.308624
236000,997.642771,379.308624
237000,997.632794,379.308624
238000,997.622818,379.308624
239000,997.612842,379.308624
240000,997.602866,379.308624
241000,997.592890,379.308624
242000,997.582914,379.308624
243000,997.572938,379.308624
244000,997.562962,379.308624
245000,997.552987,379.308624
246000,997.543011,379.308624
247000,997.533036,379.308624
248000,997.523060,379.308624
249000,997.513085,379.308624
250000,997.503110,379.308624
251000,997.493135,379.308624
252000,997.483160,379.308624
253000,997.473185,379.308624
254000,997.463210,379.308624
255000,997.453236,379.308624
256000,997.443261,379.308624
257000,997.433287,379.308624
258000,997.423312,379.308624
259000,997.413338,379.308624
260000,997.403364,379.308624
261000,997.393390,379.308624
262000,997.383416,379.308624
263000,997.373442,379.308624
264000,997.363469,379.308624
265000,997.353495,379.308624
266000,997.343521,379.308624
